fingerprint,card_count,example_card_id,variable,question_mode,choice_summary
f0fdcd358f41,30,agriculture__water_scarcity__groundwater_stress__001,annual_well_depth_m,trend,stable->False; deepening->True; failed->True
da54b8988614,16,agriculture__water_scarcity__groundwater_stress__001,borewell_density,magnitude,few->False; moderate->True; many->True
b160430a1352,16,agriculture__water_scarcity__groundwater_stress__001,groundwater_salinity,presence_graded,none->False; mild->True; severe->True
7c09ec886281,1,agriculture__water_scarcity__groundwater_stress__017,groundwater_salinity,presence_graded,none->False; mild->True; severe->True
2357603d3f78,1,agriculture__water_scarcity__groundwater_stress__017,borewell_density,magnitude,few->False; moderate->True; many->True
e6e58cb4c8e4,1,agriculture__water_scarcity__groundwater_stress__017,annual_well_depth_m,trend,stable->False; deepening->True; failed->True
5545f9c13dc6,3,agriculture__water_scarcity__irrigation_challenges__001,annual_well_depth_m,trend,stable->False; deepening->True; failed->True
ffccb0c6ff52,1,agriculture__water_scarcity__irrigation_challenges__014,tank_siltation_status,presence_graded,none->False; moderate->True; severe->True
958930298787,12,agriculture__water_scarcity__rainfed_risk__001,irrigated_area_ha,magnitude,low->True; moderate->None; high->False
d76011952525,5,agriculture__water_scarcity__rainfed_risk__004,irrigated_area_ha,magnitude,low->True; moderate->None; high->False
880fdb2fa14f,13,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,fra_claims_filed_count,presence_graded,none->True; pending->True; recognized->False
2bbbd9bc272e,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,forest_patch_connectivity,presence_graded,connected->False; partial->True; isolated->True
e30fba28d7d4,10,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,ntfp_collection_trend_qualitative,magnitude,little_change->False; moderate_decline->True; severe_decline->True
886d0a179f8d,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,ntfp_collection_trend_qualitative,magnitude,little_change->False; moderate_decline->True; severe_decline->True
feab43f98167,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,fra_claims_filed_count,presence_graded,none->True; pending->True; recognized->False
0ff2529b2d8d,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,forest_boundary_demarcation_status,presence_graded,clear->False; partial->True; absent->True
4906cc1b6007,15,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,ntfp_species_presence,magnitude,abundant->False; reduced->None; rare->True
0b577ebe7e94,4,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,forest_fire_frequency,presence_graded,rare->False; occasional->True; frequent->True
e91c01b83ed1,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__006,ntfp_species_presence,magnitude,abundant->False; reduced->None; rare->True
0d8027f35fdc,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__008,community_forest_governance_status,presence_graded,active->False; inactive->None; none->True
739d270d102c,11,socio_economic__economic_hardship__multi_sector_vulnerability__001,migrant_household_percent,magnitude,low->None; moderate->None; high->True
7ae86c1b1b7f,10,socio_economic__economic_hardship__multi_sector_vulnerability__001,household_income_inr,magnitude,below_50k->True; 50k_to_100k->None; above_100k->False
b62c2fb9c51a,18,socio_economic__economic_hardship__multi_sector_vulnerability__003,household_income_inr,magnitude,below_50k->True; 50k_to_100k->None; above_100k->False
9455a69a8a40,6,socio_economic__economic_hardship__multi_sector_vulnerability__005,migrant_household_percent,magnitude,low->None; moderate->None; high->True
7df620e1ee04,6,socio_economic__economic_hardship__multi_sector_vulnerability__005,household_income_inr,magnitude,below_50k->True; 50k_to_100k->None; above_100k->False
52aa3ca5f5ba,7,socio_economic__low_income__small_landholding__001,landholding_size_distribution,magnitude,minority->False; about_half->True; majority->True
02d45fe6c668,10,socio_economic__low_income__small_landholding__001,market_price_crop,magnitude,near_msp->False; below_msp->True; unable_to_sell->True
26086aab7349,7,socio_economic__low_income__small_landholding__002,landholding_size_distribution,magnitude,minority->False; about_half->True; majority->True
2db69145599e,7,socio_economic__low_income__small_landholding__002,market_price_crop,magnitude,near_msp->False; below_msp->True; unable_to_sell->True
32507f753a5a,3,socio_economic__low_income__small_landholding__010,landholding_size_distribution,magnitude,minority->False; about_half->True; majority->True
